,utility_code,lav_2008,mrv2_2008,country_name
0,001. Benin_SBEE,19.0,19.0,Benin
1,002. Burkina Faso_Sonabel,26.0,26.0,Burkina Faso
2,003. Cameroon_AES SONEL,6.0,6.0,Cameroon
3,004. Cape Verde_Electra,19.0,19.0,Cape Verde
4,005. Chad_STEE,11.0,11.0,Chad
5,"006. Congo, Dem. Rep._SNEL",4.0,4.0,"Congo, Dem. Rep."
6,007. CongoRep_SNE,0.08,0.08,CongoRep
7,008. Cote d'Ivoire_CIE,15.0,15.0,Cote d'Ivoire
8,009. Ethiopia_EEPCO,16.0,16.0,Ethiopia
9,010. Ghana_ECG,10.0,10.0,Ghana
10,011. Ghana_VRA,,,Ghana
11,012. Kenya_KENGEN,,,Kenya
12,013. Kenya_KPLC,13.0,13.0,Kenya
13,014. Lesotho_LEC,7.0,7.0,Lesotho
14,015. Madagascar_JIRAMA,14.0,14.0,Madagascar
15,016. Malawi_Escom,5.0,5.0,Malawi
16,017. Mali_EDM,,,Mali
17,018. Mozambique_EDM,6.0,6.0,Mozambique
18,019. Namibia_Nampower,12.0,12.0,Namibia
19,020. Namibia_NORED,,,Namibia
20,021. Niger_NIGELEC,30.0,30.0,Niger
21,022. Nigeria_PHCN,13.0,13.0,Nigeria
22,023. Rwanda_Electrogaz,12.0,12.0,Rwanda
23,024. Senegal_Senelec,47.0,47.0,Senegal
24,025. South Africa_Capetown,7.0,7.0,South Africa
25,026. South Africa_ESKOM,,,South Africa
26,027. South Africa_Tshwane,,,South Africa
27,028. Sudan_NEC,13.0,13.0,Sudan
28,029. Tanzania_TANESCO,8.0,8.0,Tanzania
29,030. Uganda_UEDCL,11.0,11.0,Uganda
30,031. Uganda_UEGCL,,,Uganda
31,032. Uganda_UETCL,,,Uganda
32,033. Zambia_ZESCO,8.0,8.0,Zambia
33,"034. Low Income, Fragile",,22.4166666666667,"Low Income, Fragile"
34,"035. Low Income, Non-Fragile",,16.6923076923077,"Low Income, Non-Fragile"
35,036. middle Income,,10.2,middle Income
36,037. Resource Rich,,11.25,Resource Rich
37,038. SSA,,13.8333333333333,SSA
38,039. CEMAC,,8.5,CEMAC
39,040. COMESA,,10.6666666666667,COMESA
40,041. EAC,,11.0,EAC
41,042. ECOWAS,,22.375,ECOWAS
42,043. SADC,,7.88888888888889,SADC
43,044. Central Africa Power Pool,,10.0,Central Africa Power Pool
44,045. Eastern Africa Power Pool,,10.6666666666667,Eastern Africa Power Pool
45,046. Southern Africa Power Pool,,7.88888888888889,Southern Africa Power Pool
46,047. Western Africa Power Pool,,22.375,Western Africa Power Pool
47,048. Countries with predominantly hydro generation,,9.5,Countries with predominantly hydro generation
48,049. Countries with installed capacity below 200 MW,,16.3333333333333,Countries with installed capacity below 200 MW
49,"050. Countries with installed capacity above 1,000 MW",,9.88888888888889,"Countries with installed capacity above 1,000 MW"
50,"051. Countries with installed capacity 200 MW to 1,000 MW",,16.1111111111111,"Countries with installed capacity 200 MW to 1,000 MW"
51,052. Countries with predominantly thermal generation,,19.9,Countries with predominantly thermal generation
